No.,棒の長さ (mm),切断パターン,端材 (mm)
1,5500,600 + 1310 + 3585,5
2,5500,600 + 1310 + 3585,5
3,5500,600 + 1310 + 3585,5
4,5500,600 + 1310 + 3585,5
5,4500,4495,5
6,4500,4495,5
7,4500,4495,5
8,4500,4495,5
9,4500,4495,5
10,4500,4495,5
11,4500,4495,5
12,4500,4495,5
13,4500,4495,5
14,4500,4495,5
15,4500,4495,5
16,4500,4495,5
17,4500,4495,5
18,4500,4495,5
19,4500,4495,5
20,4500,4495,5
21,4500,4495,5
22,4500,4495,5
23,4500,4495,5
24,4500,4495,5
25,4500,4495,5
26,4500,4495,5
27,4500,4495,5
28,4500,4495,5
29,4500,4495,5
30,4500,4495,5
31,4000,1310 + 2675,15
32,6000,917 + 1472 + 3585,26
33,5500,1882 + 3585,33
34,5500,1882 + 3585,33
35,5500,1952 + 3510,38
36,5500,1952 + 3510,38
37,4000,3965,35
38,4500,1017 + 3440,43
39,5500,1852 + 3585,63
40,5500,2675 + 2762,63
41,4500,855 + 3585,60
42,4500,855 + 3585,60
43,4500,855 + 3585,60
44,4500,855 + 3585,60
45,4500,855 + 3585,60
46,4500,855 + 3585,60
47,4500,855 + 3585,60
48,4500,855 + 3585,60
49,4500,855 + 3585,60
50,4500,855 + 3585,60
51,4500,855 + 3585,60
52,4500,855 + 3585,60
53,4500,855 + 3585,60
54,4500,855 + 3585,60
55,4500,855 + 3585,60
56,4500,855 + 3585,60
57,4500,855 + 3585,60
58,4500,855 + 3585,60
59,4500,855 + 3585,60
60,4500,917 + 3510,73
61,4500,4420,80
62,6000,917 + 1372 + 3585,126
63,4000,3895,105
64,5500,2675 + 2675,150
65,5500,2675 + 2675,150
66,5500,2675 + 2675,150
67,5500,2675 + 2675,150
68,5500,2675 + 2675,150
69,5500,2675 + 2675,150
70,5500,2675 + 2675,150
71,5500,2675 + 2675,150
72,5500,2675 + 2675,150
73,5500,2675 + 2675,150
74,5500,2675 + 2675,150
75,5500,1765 + 3585,150
76,5500,1765 + 3585,150
77,5500,1765 + 3585,150
78,5500,1765 + 3585,150
79,5500,1765 + 3585,150
80,5500,1765 + 3585,150
81,5500,1765 + 3585,150
82,5500,1765 + 3585,150
83,5500,1765 + 3585,150
84,5500,1765 + 3585,150
85,5500,1765 + 3585,150
86,5500,1765 + 3585,150
87,6000,917 + 1310 + 3585,188
88,6000,2675 + 3130,195
89,6000,2675 + 3130,195
90,6000,2675 + 3130,195
91,6000,2675 + 3130,195
92,6000,2675 + 3130,195
93,6000,2675 + 3130,195
94,6000,2675 + 3130,195
95,6000,2675 + 3130,195
96,6000,2675 + 3130,195
97,6000,2675 + 3130,195
98,6000,2600 + 3055,345
99,6000,2600 + 3055,345
100,6000,1952 + 3585,463
